"Tanggal","Terakhir","Pembukaan","Tertinggi","Terendah","Vol.","Perubahan%"
"11/11/2023","584.195.968","588.476.032","588.476.992","581.000.000","0,02K","-0,73%"
"10/11/2023","588.478.016","577.750.976","589.932.032","571.785.024","0,04K","1,86%"
"09/11/2023","577.750.976","559.345.984","593.939.968","558.300.032","0,09K","3,29%"
"08/11/2023","559.345.984","554.233.024","563.000.000","551.553.984","0,04K","0,92%"
"07/11/2023","554.233.024","544.305.984","559.123.008","543.500.032","0,03K","1,69%"
"06/11/2023","545.012.992","551.644.992","552.252.992","543.478.976","0,03K","-1,20%"
"05/11/2023","551.644.992","550.385.984","555.000.000","544.000.000","0,03K","0,23%"
"04/11/2023","550.385.984","544.803.968","552.000.000","544.000.000","0,02K","1,02%"
"03/11/2023","544.803.968","556.110.976","556.131.008","540.000.000","0,03K","-1,91%"
"02/11/2023","555.404.992","562.998.016","570.000.000","547.000.000","0,06K","-1,35%"
"01/11/2023","562.998.016","550.425.984","563.320.000","546.121.984","0,04K","2,28%"
"31/10/2023","550.425.984","546.678.976","551.078.976","543.907.968","0,03K","0,69%"
"30/10/2023","546.678.016","550.307.968","552.800.000","544.000.000","0,04K","-0,66%"
"29/10/2023","550.307.968","545.225.984","552.121.024","543.017.984","0,02K","0,93%"
"28/10/2023","545.225.984","539.694.976","547.676.992","539.656.000","0,01K","1,02%"
"27/10/2023","539.694.976","543.230.976","544.499.968","534.000.000","0,03K","-0,65%"
"26/10/2023","543.230.976","547.217.984","553.166.016","537.004.992","0,04K","-0,73%"
"25/10/2023","547.217.984","536.639.008","554.947.968","535.739.008","0,06K","1,97%"
"24/10/2023","536.639.008","522.132.992","555.721.024","519.988.992","0,11K","2,78%"
"23/10/2023","522.132.992","474.934.016","549.888.000","473.860.000","0,08K","9,94%"
"22/10/2023","474.934.016","474.441.984","478.895.008","472.803.008","0,02K","0,10%"
"21/10/2023","474.441.984","469.123.008","479.100.000","466.972.000","0,03K","1,13%"
"20/10/2023","469.123.008","452.744.000","475.000.000","447.702.016","0,07K","3,62%"
"19/10/2023","452.744.000","445.999.008","453.888.992","442.988.000","0,04K","1,51%"
"18/10/2023","445.999.008","446.068.000","452.494.016","444.641.984","0,03K","-0,02%"
"17/10/2023","446.068.000","445.324.992","446.792.000","439.195.008","0,03K","0,17%"
"16/10/2023","445.324.992","425.820.000","456.268.000","425.820.000","0,06K","4,58%"
"15/10/2023","425.820.000","422.572.000","427.591.008","422.380.000","0,01K","0,77%"
"14/10/2023","422.572.000","422.011.008","424.016.000","422.009.984","0,01K","0,13%"
"13/10/2023","422.011.008","420.159.008","425.199.008","420.158.016","0,02K","0,44%"
"12/10/2023","420.159.008","422.000.000","422.972.000","418.518.016","0,01K","-0,44%"
"11/10/2023","422.000.000","432.342.016","432.342.016","419.000.000","0,03K","-2,39%"
